"Date","Titre","Sous-titre","Salle"
"2016-10-23 11:00:00","Croissants-MusiqueJean-François Bélanger","Les vents orfèvres","Foyer de la salle Louis-Fréchette"
"2016-10-25 20:00:00","L'Opéra de QuébecSuor Angelica/Gianni Schicchi","de Giacomo Puccini","Salle Louis-Fréchette"
"2016-10-27 20:00:00","L'Opéra de QuébecSuor Angelica/Gianni Schicchi","de Giacomo Puccini","Salle Louis-Fréchette"
"2016-10-29 20:00:00","L'Opéra de QuébecSuor Angelica/Gianni Schicchi","de Giacomo Puccini","Salle Louis-Fréchette"
"2016-11-01 19:30:00","Le TridentLes bons débarras","","Salle Octave-Crémazie"
"2016-11-01 20:00:00","Compagnie Marie Chouinard","JÉRÔME BOSCH : LE JARDIN DES DÉLICES","Salle Louis-Fréchette"
"2016-11-02 12:10:00","Les Midis Musique","","Foyer de la salle Louis-Fréchette"
"2016-11-02 19:30:00","Le TridentLes bons débarras","","Salle Octave-Crémazie"
"2016-11-03 20:00:00","Les Grands ExplorateursLes Pyrénées","","Salle Louis-Fréchette"
"2016-11-03 20:00:00","Le TridentLes bons débarras","","Salle Octave-Crémazie"
"2016-11-04 20:00:00","Le TridentLes bons débarras","","Salle Octave-Crémazie"
"2016-11-04 20:00:00","Les Grands ExplorateursLes Pyrénées","","Salle Louis-Fréchette"
"2016-11-05 20:00:00","Les Grands ExplorateursLes Pyrénées","","Salle Louis-Fréchette"
"2016-11-05 20:00:00","Le TridentLes bons débarras","","Salle Octave-Crémazie"
"2016-11-06 11:00:00","Croissants-MusiqueGuillaume Arsenault","De l'autre côté des montagnes","Foyer de la salle Louis-Fréchette"
"2016-11-06 14:00:00","Les Grands ExplorateursLes Pyrénées","","Salle Louis-Fréchette"
"2016-11-07 19:30:00","Roger Hodgson (anciennement de Supertramp)","Breakfast In America 2016","Salle Louis-Fréchette"
"2016-11-08 19:30:00","Le TridentLes bons débarras","","Salle Octave-Crémazie"
"2016-11-09 19:30:00","Le TridentLes bons débarras","","Salle Octave-Crémazie"
"2016-11-09 20:00:00","L'Orchestre symphonique de QuébecConcert impérial","","Salle Louis-Fréchette"
"2016-11-10 10:30:00","L'Orchestre symphonique de QuébecConcert impérial","","Salle Louis-Fréchette"
"2016-11-10 20:00:00","Le TridentLes bons débarras","","Salle Octave-Crémazie"
"2016-11-11 20:00:00","Le Choeur En Supplément'Air","","Salle Louis-Fréchette"
"2016-11-11 20:00:00","Le TridentLes bons débarras","","Salle Octave-Crémazie"
"2016-11-12 20:00:00","Boucar Diouf","Pour une raison X ou Y","Salle Louis-Fréchette"
"2016-11-12 20:00:00","Le TridentLes bons débarras","","Salle Octave-Crémazie"
"2016-11-13 15:00:00","Le TridentLes bons débarras","","Salle Octave-Crémazie"
"2016-11-13 15:00:00","L'Orchestre symphonique de QuébecFred Piston « symphonise » avec 7 trompettes","","Salle Louis-Fréchette"
"2016-11-15 19:30:00","Le TridentLes bons débarras","","Salle Octave-Crémazie"
"2016-11-16 12:10:00","Les Midis Musique","","Foyer de la salle Louis-Fréchette"
"2016-11-16 19:30:00","Le TridentLes bons débarras","","Salle Octave-Crémazie"
"2016-11-17 20:00:00","Le TridentLes bons débarras","","Salle Octave-Crémazie"
"2016-11-18 20:00:00","Le TridentLes bons débarras","","Salle Octave-Crémazie"
"2016-11-19 16:00:00","Le TridentLes bons débarras","","Salle Octave-Crémazie"
"2016-11-20 14:30:00","L'Orchestre symphonique de QuébecCharles Richard-Hamelin joue Chopin","","Salle Louis-Fréchette"
"2016-11-22 20:00:00","X Ambassadors","","Salle Louis-Fréchette"
"2016-11-23 19:30:00","Le TridentLes bons débarras","","Salle Octave-Crémazie"
"2016-11-24 20:00:00","Le TridentLes bons débarras","","Salle Octave-Crémazie"
"2016-11-25 20:00:00","L'Orchestre symphonique de QuébecLe Cirque de la Symphonie","","Salle Louis-Fréchette"
"2016-11-25 20:00:00","Le TridentLes bons débarras","","Salle Octave-Crémazie"
"2016-11-26 16:00:00","Le TridentLes bons débarras","","Salle Octave-Crémazie"
"2016-11-26 20:00:00","L'Orchestre symphonique de QuébecLe Cirque de la Symphonie","","Salle Louis-Fréchette"
"2016-11-27 11:00:00","Croissants-MusiqueMisses Satchmo","Is That All There Is?","Foyer de la salle Louis-Fréchette"
"2016-11-27 15:00:00","Le Ballet de Québec","Blanche-Neige et les sept nains","Salle Louis-Fréchette"
"2016-11-30 12:10:00","Les Midis Musique","","Foyer de la salle Louis-Fréchette"
"2016-11-30 20:00:00","L'Orchestre symphonique de QuébecTalmi dirige Carmina Burana","","Salle Louis-Fréchette"
"2016-11-30 20:00:00","Jean-Thomas Jobin","Apprendre à s'aimer","Salle Octave-Crémazie"
"2016-12-02 20:00:00","Plume Latraverse en trio","Récidives","Salle Octave-Crémazie"
"2016-12-02 20:00:00","Les Grands Explorateurs7 jours à Rome","","Salle Louis-Fréchette"
"2016-12-03 20:00:00","Plume Latraverse en trio","Récidives","Salle Octave-Crémazie"
"2016-12-03 20:00:00","Les Grands Explorateurs7 jours à Rome","","Salle Louis-Fréchette"
"2016-12-04 14:00:00","Les Grands Explorateurs7 jours à Rome","","Salle Louis-Fréchette"
"2016-12-06 20:00:00","PPS Danse","Corps Amour Anarchie / Léo Ferré","Salle Octave-Crémazie"
"2016-12-07 12:10:00","Les Midis Musique","","Foyer de la salle Louis-Fréchette"
"2016-12-07 19:30:00","The Legend of Zelda","Symphony of the Goddesses","Salle Louis-Fréchette"
"2016-12-07 20:00:00","PPS Danse","Corps Amour Anarchie / Léo Ferré","Salle Octave-Crémazie"
"2016-12-08 20:00:00","Steve Veilleux","T'en souviens-tu encore, Godin?","Salle Octave-Crémazie"
"2016-12-08 20:00:00","The Musical Box","Selling England By The Pound","Salle Louis-Fréchette"
"2016-12-09 20:00:00","Le Vent du Nord et De Temps Antan","SOLO","Salle Octave-Crémazie"
"2016-12-10 15:00:00","Nicolas Noël","","Salle Louis-Fréchette"
"2016-12-10 20:00:00","Ingrid St-Pierre","Tokyo","Salle Octave-Crémazie"
"2016-12-14 20:00:00","Heymoonshaker","","Salle Octave-Crémazie"
"2016-12-15 19:30:00","L'Orchestre symphonique de QuébecHollywood en famille 2","","Salle Louis-Fréchette"
"2016-12-16 20:00:00","Les Cowboys Fringants","Octobre","Salle Louis-Fréchette"
"2016-12-17 19:30:00","L'Orchestre symphonique de QuébecHollywood en famille 2","","Salle Louis-Fréchette"
